accidente,hora,operador,tipo de aeronave,modelo,personas a bordo,pasajeros a bordo,tripulantes a bordo,total de fallecidos,pasajeros fallecidos,tripulantes fallecidos,afectados en tierra,sobrevivientes,militar,país
1949-08-19,13:02:00,BRITISH EUROPEAN AIRWAYS,Douglas DC-3,12355,32,29,3,24,21,3,0,8,No militar,Ocean
1949-08-21,23:30:00,MILITARY - ROYAL CANADIAN AIR FORCE,Consolidated Canso (amphibian),No Data,21,14,7,21,14,7,0,0,Militar,Ocean
1949-08-27,08:00:00,SABENA,Douglas C-47B-5-DK,14600/26045,20,17,3,5,3,2,0,15,No militar,Ocean
1949-09-09,10:45:00,CANADIAN PACIFIC AIR LINES,Douglas DC-3,4518,23,19,4,23,19,4,0,0,No militar,Canada
1949-09-26,13:30:00,MEXICANA,Douglas DC-3,11725,24,21,3,24,21,3,0,0,No militar,Mexico
1949-09-27,00:00:00,FLOTA AÉREA MERCANTE ARGENTINA,Douglas C-54A-1-DO,7445,27,20,7,5,2,3,0,22,No militar,Argentina
1949-10-09,00:00:00,SLICK AIRWAYS,Curtiss C-46E-1-CS,2939,4,2,2,4,2,2,0,0,No militar,U.S.A.
1949-10-28,02:50:00,AIR FRANCE,Lockheed 749-79-33 Constellation,2546,48,37,11,48,37,11,0,0,No militar,Ocean
1949-11-01,11:45:00,EASTERN AIR LINES / MILITARY - BOLIVIAN AIR FORCE,Douglas C-54B / P-38,18365 /,55,51,4,55,51,4,0,0,Militar,U.S.A.
1949-11-04,21:34:00,HARRINGTON'S INC,Douglas DC-3,4304,3,0,3,3,0,3,0,0,No militar,U.S.A.
1949-11-16,00:00:00,ROYAL INDIAN AIR FORCE,Tempest,No Data,2,0,2,1,0,1,14,1,No militar,India
1949-11-20,16:56:00,AERO HOLLAND,Douglas C-47A,13462,35,31,4,34,30,4,0,1,No militar,Norway
1949-11-26,12:00:00,LANSA,Douglas DC-3,No Data,12,9,3,12,9,3,0,0,No militar,Colombia
1949-11-29,05:49:00,AMERICAN AIRLINES,Douglas DC-6,42895/58,46,41,5,28,26,2,0,18,No militar,U.S.A.
1949-11-29,16:45:00,AIR FRANCE,Douglas DC-4,10391,38,33,5,5,1,4,0,33,No militar,France
1949-12-01,19:00:00,REAL,Douglas DC-3 (C-47-DL),4241,22,18,4,20,16,4,0,2,No militar,Brazil
1949-12-07,17:15:00,ARROW AIRLINES,Douglas DC-3,9201,9,6,3,9,6,3,0,0,No militar,U.S.A.
1949-12-09,00:00:00,CIVIL AIR TRANSPORT,Curtiss C-46D-CU,22354,38,36,2,38,36,2,0,0,No militar,China
1949-12-10,00:00:00,CIVIL AIR TRANSPORT,Curtiss C-46D-CU,22347,40,-1,-1,17,-1,-1,0,23,No militar,China
1949-12-12,20:45:00,CAPITAL AIRLINES,Douglas DC-3-313A,2556,23,20,3,6,4,2,0,17,No militar,U.S.A.
1949-12-12,21:51:00,PAKAIR,Douglas DC-3,4841,26,22,4,26,22,4,0,0,No militar,Pakistan
1949-12-16,06:00:00,MEXICANA,Douglas DC-3,11721,17,13,4,17,13,4,0,0,No militar,Mexico
1949-12-18,20:30:00,SABENA,Douglas C-47A-60-DL,10241,8,4,4,8,4,4,0,0,No militar,France
1949-12-30,00:00:00,BHARAT AIRWAYS,Douglas C-54A-DO,3089,7,6,1,7,6,1,0,0,No militar,Pakistan
1950-01-05,00:00:00,MILITARY - SOVIET AIR FORCE,Lisunov Li-2,No Data,19,-1,-1,19,-1,-1,0,0,Militar,Russia
1950-01-18,00:00:00,EJERCITO DEL AIRE,Casa 352,34,16,13,3,16,13,3,0,0,No militar,Spain
1950-01-20,12:00:00,MILITARY - BOLIVIAN AIR FORCE,Douglas C-47,No Data,32,28,4,32,28,4,1,0,Militar,Bolivia
1950-01-24,00:00:00,SOCIETE TRANSATLANTIQUE AERIENNE,Douglas C-47A-50-DL,10046,14,11,3,14,11,3,0,0,No militar,Madagascar
1950-01-24,00:00:00,PHILIPPINE AIR LINES,Douglas DC-3,12628,4,1,3,4,1,3,0,0,No militar,Philippines
1950-01-26,14:09:00,MILITARY - U.S. AIR FORCE,Douglas C-54D-DC (DC-4),10574,44,36,8,44,36,8,0,0,Militar,Ocean
1950-02-02,04:45:00,KLM ROYAL DUTCH AIRLINES,Douglas DC-3,13396,7,0,7,7,0,7,0,0,No militar,Ocean
1950-02-27,07:31:00,CESKOSLOVENSKE AEROLINIE,Douglas C-47A-15-DK,12725,30,27,3,5,2,3,0,25,No militar,Ocean
1950-03-07,20:59:00,NORTHWEST ORIENT AIRLINES,Martin 202,9134,13,10,3,13,10,3,2,0,No militar,U.S.A.
1950-03-10,00:00:00,SOCIETE INDOCHINOISE DE TRANSPORT AERIENS,Bristol 170 Freighter 21,12782,4,1,3,4,1,3,0,0,No militar,Vietnam
1950-03-12,14:50:00,FAIRFLIGHT LTD.,Avro 689 Tudor 5,1417,83,78,5,80,75,5,0,3,No militar,Ocean
1950-03-25,00:00:00,DEVLET HAVA YOLLAIRI,Douglas DC-3,19423,15,11,4,15,11,4,0,0,No militar,Turkey
1950-03-28,17:30:00,SEMAF,Latecoere 631 (sea plane),03,12,0,12,12,0,12,0,0,No militar,France
1950-04-05,03:56:00,DECCAN AIRWAYS,Douglas C-47A,12826,3,0,3,3,0,3,0,0,No militar,India
1950-04-13,00:00:00,BRITISH EUROPEAN AIRWAYS,Vickers 610 Viking 1B,225,32,28,4,0,0,0,0,32,No militar,Ocean
1950-04-15,17:00:00,LINEAS AÉREAS NACIONALES,Douglas C-47 (DC-3),No Data,4,0,2,2,0,2,0,2,No militar,Colombia
1950-04-21,23:25:00,MILITARY - U.S. AIR FORCE,Douglas C-54D,10809,35,27,8,35,27,8,0,0,Militar,Japan
1950-05-02,00:00:00,AVIANCA,Douglas C-47DL,4314,15,12,3,15,12,3,0,0,No militar,Ecuador
1950-05-18,20:59:00,MILITARY - U.S. AIR FORCE,Boeing B-29,10707,16,5,11,16,5,11,0,0,Militar,Ocean
1950-05-23,10:20:00,MILITARY - U.S. AIR FORCE,Curtiss C-46D,32973,39,35,4,39,35,4,0,0,Militar,U.S.A.
1950-05-24,00:00:00,LANSA,Douglas C-47,10194,27,24,3,26,23,3,0,1,No militar,Colombia
1950-05-27,17:29:00,REGINA CARGO AIRLINES,Curtiss C-46F-1-CU,22582,2,0,2,1,0,1,0,1,No militar,U.S.A.
1950-05-30,00:00:00,AEROVIAS BRASIL,Douglas DC-3,9156,15,11,4,13,9,4,0,2,No militar,Brazil
1950-06-05,22:03:00,WESTAIR TRANSPORT,Curtiss C-46-F-1-CU,22496,65,62,3,28,28,0,0,37,No militar,U.S.A.
1950-06-09,19:00:00,NEW TRIBES MISSION,Douglas DC-3-178,1546,15,12,3,15,12,3,0,0,No militar,Colombia
1950-06-13,01:16:00,AIR FRANCE,Douglas DC-4-1009,42937,52,44,8,46,40,6,0,6,No militar,Ocean
1950-06-14,01:53:00,AIR FRANCE,Douglas DC-4,42990,53,45,8,40,37,3,0,13,No militar,Bahrain
1950-06-15,01:53:00,AIR FRANCE,Douglas DC-4,42990,53,45,8,40,37,3,-1,13,No militar,Bahrain
1950-06-23,23:25:00,NORTHWEST ORIENT AIRLINES,Douglas DC-4,10270,58,55,3,58,55,3,0,0,No militar,U.S.A.
1950-06-26,23:00:00,ANSETT ANA,Douglas DC-4-1009,42910,29,24,5,29,24,5,0,0,No militar,Australia
1950-07-07,00:00:00,MILITARY - U.S. AIR FORCE,Douglas C-54G,35971,23,18,5,23,18,5,0,0,Militar,South Korea
1950-07-09,01:30:00,AIGLE AZUR,Douglas DC-3,13824,29,25,4,22,18,4,0,7,No militar,Morocco
1950-07-17,00:00:00,INDIAN NATIONAL AIRLINES,Douglas DC-3,20359,22,18,4,22,18,4,0,0,No militar,India
1950-07-18,00:00:00,DTA ANGOLA AIRLINES,Douglas DC-3,13769,9,6,3,9,6,3,0,0,No militar,Angola
1950-07-23,10:22:00,MILITARY - U.S. AIR FORCE,Curtiss C-46 Commando,32973,39,35,4,39,35,4,0,0,Militar,U.S.A.
1950-07-27,04:30:00,MILITARY - U.S. AIR FORCE,Douglas C-47D,16023/32771,26,23,3,25,22,3,0,1,Militar,Japan
1950-07-28,19:25:00,PANAIR DO BRASIL,Lockheed 049 Constellation,2962,50,43,7,50,43,7,0,0,No militar,Brazil
1950-07-29,03:00:00,CIE AIR TRANSPORT,Bristol 170 Freighter 21,12738,26,22,4,26,22,4,0,0,No militar,Algeria
1950-07-30,13:00:00,"SAVG (S.A. VIACAO GAUCHA, )SAVG",Lockheed 18 LodeStar,18-2133,12,10,2,12,10,2,0,0,No militar,Brazil
1950-07-30,05:44:00,AEROFLOT,Ilyushin IL-12,93013302,25,19,6,25,19,6,0,0,No militar,Russia
1950-08-05,22:00:00,MILITARY - U.S. AIR FORCE,Boeing B-29MR,12454,20,0,20,12,0,12,7,8,Militar,U.S.A.
1950-08-22,02:37:00,AMERICAN AIRLINES,Douglas DC-6,42858/9,59,54,5,1,1,0,0,58,No militar,U.S.A.
1950-08-25,00:00:00,MILITARY - ROYAL AIR FORCE,Douglas C-47B,16538/33286,12,7,5,12,7,5,0,0,Militar,Malaysia
1950-08-31,02:03:00,TRANS WORLD AIRLINES,Lockheed 749A Constellation,2636,55,48,7,55,48,7,0,0,No militar,Egypt
1950-09-04,14:10:00,ROBINSON AIRLINES,Douglas DC-3,2011,23,20,3,16,13,3,0,7,No militar,U.S.A.
1950-09-14,00:00:00,IRAN AIR,Douglas DC-3,9813,8,5,3,8,5,3,0,0,No militar,Iran
1950-09-20,05:20:00,MILITARY - U.S. NAVY,Douglas R5D-3,10624,26,19,7,26,19,7,0,0,Militar,Marshall Islands
1950-09-21,00:00:00,JAT YUGOSLAV AIRLINES,Douglas DC-3,13311,11,7,4,10,6,4,0,1,No militar,Ocean
1950-09-23,14:00:00,SVENSKA AERO,Avro Ninteen I,1321,10,9,1,10,9,1,0,0,No militar,Sweden
1950-09-26,04:25:00,MILITARY - U.S. AIR FORCE,Douglas C-54D-DC (DC-4),10562,51,43,8,23,18,5,0,28,Militar,Japan
1950-10-13,07:40:00,AIR ATLAS,Douglas DC-3,20245,7,4,3,4,1,3,0,3,No militar,Morocco
1950-10-13,10:49:00,NORTHWEST ORIENT AIRLINES,Martin 202,9158,6,3,3,6,3,3,0,0,No militar,Ocean
1950-10-17,15:45:00,BRITISH EUROPEAN AIRWAYS,Douglas C-47A,12186,29,24,5,28,24,4,0,1,No militar,Ocean
1950-10-31,19:54:00,BRITISH EUROPEAN AIRWAYS,Vickers 610 Viking-1B,155,30,26,4,28,24,4,0,2,No militar,Ocean
1950-11-03,09:43:00,AIR INDIA,Lockheed 749 Constellation,2506,48,40,8,48,40,8,0,0,No militar,France
1950-11-07,08:15:00,NORTHWEST ORIENT AIRLINES,Martin 202,9161,21,17,4,21,17,4,0,0,No militar,U.S.A.
1950-11-13,18:00:00,CURTISS-REID FLYING SERVICES LTD. (CANADA),Douglas C-54B-1-DC,10518,58,51,7,58,51,7,0,0,No militar,France
1950-11-17,00:00:00,GARUDA INDONESIA AIRLINES,Douglas DC-3,19005,23,20,3,2,0,2,0,21,No militar,Indonesia
1950-11-21,17:50:00,NEW TRIBES MISSION,Douglas DC-3,19711,21,18,3,21,18,3,0,0,No militar,U.S.A.
1950-11-23,00:00:00,FAUCETT,Douglas DC-3,15992/32740,9,5,4,9,5,4,0,0,No militar,Peru
1950-11-25,00:00:00,INDAMER,Douglas C-47A,14037/25482,3,0,3,3,0,3,0,0,No militar,Bhutan
1950-12-01,00:00:00,IRAN AIR,Douglas DC-3,13572,8,7,1,8,7,1,0,0,No militar,Iran
1950-12-08,19:37:00,T.A. INTERCONTINENTAUX,Douglas C-54A,3084,56,50,6,46,43,3,0,10,No militar,Ocean
1950-12-09,00:00:00,AIR ATLAS,Douglas DC-3,16100/32848,7,4,3,5,2,3,0,2,No militar,France
1950-12-13,00:00:00,AIR INDIA,Douglas DC-3,14604/2604,21,17,4,21,17,4,0,0,No militar,India
1950-12-13,13:30:00,VASP,Douglas DC-3,20543,31,25,6,0,0,0,3,31,No militar,Brazil
1950-12-14,09:10:00,VASP,Douglas DC-3,17097/34364,20,16,4,1,1,0,1,19,No militar,Brazil
1950-12-15,13:30:00,AVENSA,Douglas C-47-DL,4432,31,28,3,31,28,3,0,0,No militar,Venezuela
1950-12-19,07:30:00,MILITARY - U.S. AIR FORCE,Douglas C54E-DO (DC-4),27322,38,31,7,38,31,7,0,0,Militar,Philippines
1950-12-22,13:53:00,CANADIAN PACIFIC AIR LINES,Douglas DC-3,12855,18,15,3,2,0,2,0,16,No militar,Canada
1950-12-30,22:09:00,AEROLINEAS ARGENTINAS,Douglas DC-3,13027,18,13,5,17,12,5,0,1,No militar,Argentina
1951-01-12,14:50:00,UNITED AIRWAYS,de Havilland Dove 1,04017,12,10,2,12,10,2,0,0,No militar,South Africa
1951-01-13,00:00:00,AIR CARRIERS,Douglas DC-3,15782/32530,10,7,3,10,7,3,0,0,No militar,Thailand
1951-01-14,14:13:00,NATIONAL AIRLINES,Douglas DC-4-1009,43102,28,25,3,7,6,1,0,21,No militar,U.S.A.
1951-01-16,12:14:00,NORTHWEST ORIENT AIRLINES,Martin 202,9144,10,7,3,10,7,3,0,0,No militar,U.S.A.
1951-01-17,14:36:00,ALITALIA,Savoia Marchetti SM-95,10,17,12,5,14,10,4,0,3,No militar,Italy
1951-01-28,08:40:00,MILITARY -ROYAL AIR FORCE,Short Sunderland 9 (flying boat),No Data,14,7,7,14,7,7,0,0,Militar,Taiwan
1951-01-31,16:45:00,ICELANDAIR,Douglas DC-3,12482,20,17,3,20,17,3,0,0,No militar,Iceland
1951-02-01,00:00:00,MILITARY - PORTUGUESE AIR FORCE,Douglas C-54,No Data,14,-1,-1,14,-1,-1,0,0,Militar,Portugal
1951-02-03,14:30:00,AIR FRANCE,Douglas DC-4,42992,29,23,6,29,23,6,0,0,No militar,Cameroon
1951-02-14,00:00:00,LINEAS AÉREAS NACIONALES,Curtiss C-46A,49,2,0,2,2,0,2,0,0,No militar,Colombia
1951-03-02,09:12:00,MID CONTINENT AIRLINES,Douglas DC-3,7400,25,21,4,16,13,3,0,9,No militar,U.S.A.
1951-03-11,00:00:00,PACIFIC OVERSEAS AIRWAYS,Douglas DC-4,10396,24,20,4,24,20,4,0,0,No militar,Hong Kong
1951-03-21,17:20:00,LANSA,Douglas C-47,9073,29,26,3,29,26,3,0,0,No militar,Colombia
1951-03-22,17:30:00,CRUZEIRO,Douglas DC-3,7341,14,10,4,3,3,0,0,11,No militar,Brazil
1951-03-23,00:50:00,MILITARY - U.S. AIR FORCE,Douglas C-124A Globemaster,43173,53,48,5,53,48,5,0,0,Militar,Ocean
1951-03-25,04:42:00,AEROFLOT,Lisunov LI-2,184 341 04,13,9,4,12,8,4,0,1,No militar,Russia
1951-03-26,00:00:00,AEROLINEAS ARGENTINAS,Douglas DC-3,12291,24,20,4,11,8,3,2,13,No militar,Argentina
1951-03-27,00:00:00,AIR TRANSPORT CHARTER,Douglas C-47A-75-DL Dakota 3,19361,3,0,3,2,0,2,0,1,No militar,Ocean
1951-04-02,00:00:00,AVIANCA,Douglas DC-3,1957,26,24,2,26,24,2,0,0,No militar,Colombia
1951-04-06,20:30:00,SOUTHWEST AIRWAYS,Douglas DC-3,20229,22,19,3,22,19,3,0,0,No militar,U.S.A.
1951-04-08,11:35:00,MILITARY - U.S. AIR FORCE,Douglas C-47B-DK,25559,21,18,3,21,18,3,0,0,Militar,U.S.A.
1951-04-09,00:00:00,SIAMESE AIRWAYS,Douglas DC-3,No Data,16,11,5,16,11,5,0,0,No militar,Hong Kong
1951-04-25,11:49:00,CUBANA DE AVIACION / MILITARY -  US NAVY,Douglas DC-4 /Beechcraft SMB-1,10368,43,34,9,43,34,9,0,0,Militar,U.S.A.
1951-04-28,19:32:00,UNITED AIR LINES,Douglas DC-3,1927,11,8,3,11,8,3,0,0,No militar,U.S.A.
1951-05-06,12:30:00,MILITARY - U.S. AIR FORCE,Convair B-36D,117,25,0,25,23,0,23,0,2,Militar,U.S.A.
1951-05-08,14:12:00,HUNTING AIR TRAVEL,Vickers 639 Viking 1,134,32,27,5,2,0,2,0,30,No militar,France
1951-05-18,19:10:00,VASP,Douglas DC-3,17011/34274,7,4,3,7,4,3,0,0,No militar,Brazil
1951-06-03,13:45:00,MILITARY - U.S. AIR FORCE,Fairchild C-82,10131,10,0,10,10,0,10,0,0,Militar,U.S.A.
1951-06-06,17:40:00,LINEAS AÉREAS TRANS. BRASILEIRA,Douglas DC-3D,42979,19,16,3,2,1,1,0,17,No militar,Brazil
1951-06-13,06:00:00,SOCIEDAD AERONAUTICA MEDELLIN,Douglas C-47A,10062,3,0,3,3,0,3,0,0,No militar,Colombia
1951-06-22,03:25:00,PAN AMERICAN WORLD AIRWAYS,Lockheed 049 Constellation,2046,40,31,9,40,31,9,0,0,No militar,Liberia
1951-06-29,00:00:00,JAT YUGOSLAV AIRLINES,Junkers 52/3m,316,14,11,3,14,11,3,0,0,No militar,Ocean
1951-06-30,02:00:00,UNITED AIR LINES,Douglas DC-6B,43144/155,50,45,5,50,45,5,0,0,No militar,U.S.A.
1951-07-12,22:45:00,MILITARY - ROYAL AIR FORCE,Vickers Valetta C-1,350,10,0,10,10,0,10,0,0,Militar,Ocean
1951-07-12,00:00:00,INDAMER,Douglas C-47B,20662,3,0,3,3,0,3,0,0,No militar,India
1951-07-12,00:00:00,LOIDE AEREO NACIONAL,Douglas DC-3,14822/26267,33,28,5,33,28,5,0,0,No militar,Brazil
1951-07-16,09:07:00,QANTAS,de Havilland DHA-3 Drover II,5003,7,5,2,7,5,2,0,0,No militar,Ocean
1951-07-20,00:00:00,AIR OUTRE-MER,Douglas C-47A,19634,3,0,3,3,0,3,0,0,No militar,China
1951-07-21,22:55:00,CANADIAN PACIFIC AIR LINES,Douglas C-54A,10327,37,31,6,37,31,6,0,0,No militar,U.S.A.
1951-07-24,05:45:00,SABENA,Douglas DC-3,6327,3,0,3,3,0,3,0,0,No militar,Mali
1951-07-29,00:00:00,LOIDE AÉREO NACIONAL,Curtiss C-46A,26488,7,4,3,7,4,3,0,0,No militar,Bolivia
1951-08-08,21:00:00,TRANS AUSTRALIA AIRLINES,No Data,13083,2,0,2,2,0,2,0,0,No militar,Australia
1951-08-11,09:25:00,AIR FRANCE,Douglas DC-3D,42971,5,0,5,5,0,5,0,0,No militar,France
1951-08-17,00:00:00,REAL,Douglas DC-3,9154,10,-1,-1,10,-1,-1,0,0,No militar,Brazil
1951-08-24,04:28:00,UNITED AIR LINES,Douglas DC-6B,43260/180,50,44,6,50,44,6,0,0,No militar,U.S.A.
1951-09-08,19:00:00,VASP,Douglas DC-3,1559/27036,13,9,4,13,9,4,3,0,No militar,Brazil
1951-09-12,12:30:00,SOCIETE ALPES PROVENCE,Douglas DC-3,15985/32733,39,36,3,39,36,3,0,0,No militar,Spain
1951-09-12,11:46:00,UNITED AIR LINES,Boeing 377 Stratocruiser 10-34,15970,3,0,3,3,0,3,0,0,No militar,U.S.A.
1951-09-15,00:00:00,AIR INDIA,Douglas C-47A-30-DK Dakota III,13853/25298,28,24,4,22,21,1,0,6,No militar,India
1951-09-27,00:00:00,MILITARY - US AIR FORCE,Fairchild C-119C-15-FA Flying Boxcar,10406,14,0,14,14,0,14,0,0,Militar,Ocean
1951-09-29,00:00:00,FRIGORIFICO COOPERATIVO LOS ANDES,Curtiss C-46D-15-CU,33346,27,24,3,27,24,3,0,0,No militar,Bolivia
1951-10-08,00:00:00,AERO TRANSPORTES,Douglas DC-3,14007/25452,8,5,3,8,5,3,0,0,No militar,Mexico
1951-10-15,00:00:00,SOUTH AFRICAN AIRWAYS,Douglas DC-3,6891,17,13,4,17,13,4,0,0,No militar,South Africa
1951-10-15,00:00:00,MILITARY - U.S. AIR FORCE,Boeing C-97A Stratofreighter,16224,12,9,3,12,9,3,0,0,Militar,Ocean
1951-10-17,18:55:00,QUEEN CHARLOTTE AIRLINES,Consolidated PBY-5A Catalina,400,23,20,3,23,20,3,0,0,No militar,Canada
1951-10-22,00:00:00,JAT YUGOSLAV AIRLINES,Douglas DC-3,13014,12,9,3,12,9,3,0,0,No militar,Ocean
1951-10-27,19:00:00,MILITARY - GUATEMALAN AIR FORCE,Douglas C-47,No Data,29,25,4,27,23,4,0,2,Militar,Guatemala
1951-11-05,09:29:00,TRANSOCEAN AIR LINES,Martin 202,9160,29,26,3,1,1,0,0,28,No militar,U.S.A.
1951-11-13,13:00:00,MILITARY - U. S. AIR FORCE,Fairchild C-82 Packet,10171,36,32,4,36,32,4,0,0,Militar,France
1951-11-15,09:00:00,LOT POLISH AIRLINES,Lisunov Li-2P,18438505,18,14,4,18,14,4,0,0,No militar,Poland
1951-11-17,16:23:00,AEROFLOT,Ilyushin IL-12,93013112,23,19,4,23,19,4,0,0,No militar,Russia
1951-11-19,00:00:00,DEVLET HAVA YOLLARI,Douglas DC-3,7352,5,4,1,5,4,1,0,0,No militar,Egypt
1951-11-21,07:45:00,DECCAN AIRWAYS,Douglas DC-3,13265,17,13,4,16,12,4,0,1,No militar,India
1951-11-24,06:00:00,EL AL,Douglas DC-4,10512,7,0,7,6,0,6,0,1,No militar,Switzerland
1951-11-27,00:00:00,LINEAS AEREAS UNIDAS,DC-2-243,2077,21,18,3,13,11,2,0,8,No militar,Mexico
1951-12-04,07:25:00,UNITED AIR LINES,Douglas DC-3A,4999,3,0,3,3,0,3,0,0,No militar,U.S.A.
1951-12-13,00:00:00,QANTAS,de Havilland DH-84 Dragon,No Data,3,2,1,3,2,1,0,0,No militar,Ocean
1951-12-16,15:09:00,MIAMI AIRLINES,Curtiss Wright C-46F,22572,56,52,4,56,52,4,1,0,No militar,U.S.A.
1951-12-23,00:00:00,MISRAIR,SNCASE Languedoc,41,22,18,4,22,18,4,0,0,No militar,Iran
1951-12-27,04:26:00,AEROFLOT,Lisunov LI-2,18421601,20,14,6,20,14,6,0,0,No militar,Russia
1951-12-29,22:25:00,CONTINENTAL CHARTERS,Curtiss C-46A-50-CU,30466,40,36,4,26,23,3,0,14,No militar,U.S.A.
1951-12-30,22:07:00,TRANSOCEAN AIR LINES,Curtiss C 46F-CU,22485,4,2,2,4,2,2,0,0,No militar,U.S.A.
1951-12-30,15:40:00,MILITARY - U.S. AIR FORCE,Douglas C-47D,15850/32598,28,24,4,28,24,4,0,0,Militar,U.S.A.
1951-12-31,00:00:00,KALINGA AIRLINES,Douglas C-47A,13859/25304,3,0,3,3,0,3,0,0,No militar,India
1952-01-02,00:00:00,AIR FRANCE,Junkers JU-52/3m,106,11,8,3,6,-1,-1,0,5,No militar,Madagascar
1952-01-10,19:15:00,AER LINGUS,Douglas DC-3,16699/33447,23,20,3,23,20,3,0,0,No militar,Ireland
1952-01-19,01:38:00,NORTHWEST ORIENT AIRLINES,Douglas DC-4,27279,43,40,3,36,33,3,0,7,No militar,Canada
1952-01-22,15:43:00,AMERICAN AIRLINES,Convair CV-240-0,054,23,20,3,23,20,3,7,0,No militar,U.S.A.
1952-02-04,00:00:00,SABENA,Douglas DC-3,13450,15,11,4,15,11,4,0,0,No militar,Ocean
1952-02-07,00:00:00,MILITARY - U.S. AIR FORCE,Boeing B-29,No Data,13,-1,13,13,-1,13,5,0,Militar,Japan
1952-02-11,00:20:00,NATIONAL AIRLINES,Douglas DC-6,43055/37,63,59,4,29,26,3,4,34,No militar,U.S.A.
1952-02-16,17:34:00,HUNTING AIR TRAVEL,Vickers 614 Viking 1,142,31,26,5,31,26,5,0,0,No militar,Italy
1952-02-19,02:23:00,DECCAN AIRWAYS,Douglas DC-3,19160,16,12,4,3,1,2,0,13,No militar,India
1952-02-19,00:00:00,STAAP,Consolidated  32 Liberator II,12,9,5,4,9,5,4,0,0,No militar,Cameroon
1952-02-28,00:00:00,PANAIR DO BRASIL,Douglas DC-3A,3284,8,6,2,8,6,2,0,0,No militar,Brazil
1952-03-03,08:10:00,AIR FRANCE,SNCASE Languedoc,43,38,34,4,38,34,4,0,0,No militar,France
1952-03-10,00:00:00,PHILIPPINE AIR LINES,Douglas C-47A-35-DL,9754,3,0,3,3,0,3,0,0,No militar,Philippines
1952-03-12,00:00:00,MILITARY - U.S. AIR FORCE / U.S. AIR FORCE,Boeing B-29 / Boeing B-29,No Data,15,0,15,15,0,15,-1,0,Militar,U.S.A.
1952-03-22,14:00:00,MARITIME CENTRAL AIRWAYS,Douglas C-47-DL,4695,4,3,1,4,3,1,0,0,No militar,Canada
1952-03-22,10:45:00,KLM ROYAL DUTCH AIRLINES,Douglas DC-6,43111/102,47,37,10,45,36,9,0,2,No militar,Germany
1952-03-24,03:10:00,SOCIÉTÉ AÉRIENNE DE TR. TROPICAUX,Lockheed 18 Lodestar,2005,21,18,3,17,14,3,0,4,No militar,Ocean
1952-03-26,00:00:00,AEROFLOT,No Data,No Data,70,-1,-1,70,-1,-1,0,0,No militar,Russia
1952-03-29,00:00:00,TACA,Douglas DC-3,No Data,12,9,3,12,9,3,0,0,No militar,Venezuela
1952-03-30,00:00:00,PHILIPPINE AIR LINES,Douglas DC-3,13808,29,26,3,10,8,2,0,19,No militar,Philippines
1952-04-05,08:25:00,US AIRLINES,Curtiss C-46F-1-CU,22464,2,0,2,2,0,2,3,0,No militar,U.S.A.
1952-04-09,08:07:00,JAPAN AIR LINES,Martin 202,9164,37,33,4,37,33,4,0,0,No militar,Japan
1952-04-10,00:00:00,KALINGA AIRLINES,Douglas C-47A,13628,4,0,4,4,0,4,0,0,No militar,India
1952-04-11,12:20:00,PAN AMERICAN WORLD AIRWAYS,Douglas DC-4,10503,69,64,5,52,52,0,0,17,No militar,Puerto Rico
1952-04-18,03:34:00,NORTH CONTINENTAL AIRLINES (ROBIN AIRLINES),Curtiss C-46F-1CU,22466,29,26,3,29,26,3,0,0,No militar,U.S.A.
1952-04-29,04:40:00,PAN AMERICAN WORLD AIRWAYS,Boeing 377-10-26 Stratocruiser,15939/12,50,41,9,50,41,9,0,0,No militar,Brazil
1952-04-30,00:00:00,DECCAN AIRWAYS,Douglas DC-3,13405,9,5,4,9,5,4,0,0,No militar,India
1952-05-05,00:00:00,FRED OLSEN FLYVESELSKAP,Douglas C-47A,12148,29,26,3,11,8,3,0,18,No militar,Norway
1952-05-09,00:00:00,GARUDA INDONESIA AIRLINES,Douglas DC-3,42954,17,-1,-1,17,-1,-1,0,0,No militar,Malaysia
1952-05-13,00:00:00,VASP,Douglas DC-3,16894/34151,22,19,3,5,3,2,0,17,No militar,Brazil
1952-05-24,00:00:00,LOIDE AÉREO NACIONAL,Curtiss C-46A,446,6,0,6,6,0,6,0,0,No militar,Brazil
1952-05-26,08:45:00,BRITISH OVERSEAS AIRWAYS,Handley Page HP-81 Hermes IV,HP-81/15,18,10,8,1,0,1,0,17,No militar,Mauritania
1952-06-13,11:29:00,SWEDISH AIR FORCE,Douglas DC-3,9001,8,5,3,8,5,3,0,0,No militar,Ocean
1952-06-14,09:49:00,MORTON AIR SERVICES,Airspeed AS-65 Consul,2593,8,7,1,6,5,1,-1,2,No militar,Ocean
1952-06-24,00:00:00,MILITARY - U.S. AIR FORCE,Boeing B-50 Superfortress,No Data,11,-1,-1,11,-1,-1,0,0,Militar,Ocean
1952-06-25,00:00:00,MILITARY - ROYAL AIR FORCE,Avro Shackleton MR-1,No Data,13,11,2,11,9,2,0,2,Militar,Ocean
1952-07-18,00:00:00,MILITARY - NAVY,Fairchild packet (C119 flying boxcar),No Data,46,40,6,41,37,4,0,5,Militar,U.S.A.
1952-07-27,11:46:00,PAN AMERICAN WORLD AIRWAYS,Boeing 377 Stratocruiser,15939,27,19,8,1,1,0,0,26,No militar,Brazil
