accidente,hora,operador,tipo de aeronave,modelo,personas a bordo,pasajeros a bordo,tripulantes a bordo,total de fallecidos,pasajeros fallecidos,tripulantes fallecidos,afectados en tierra,sobrevivientes,militar,país
1920-10-02,00:00:00,LATECOERE AIRLINES,Salmson 2-A-2,31,2,1,1,2,1,1,0,0,No militar,France
1920-10-05,00:00:00,LATECOERE AIRLINES,Breguet 14,20,2,1,1,2,1,1,0,0,No militar,Spain
1920-10-15,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1920-11-07,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,178,1,0,1,1,0,1,0,0,No militar,U.S.A.
1920-12-14,12:15:00,HANDLEY PAGE TRANSPORT,Handley Page HP-16,HP-25,8,6,2,4,2,2,0,4,No militar,Ocean
1920-12-24,00:00:00,AEROPOSTALE,Breguet 14,57,1,0,1,1,0,1,0,0,No militar,Spain
1921-02-03,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,Ocean
1921-02-09,00:00:00,US AERIAL MAIL SERVICE,Junkers F-13,No Data,3,0,3,3,0,3,0,0,No militar,U.S.A.
1921-02-15,00:00:00,AEROPOSTALE,Breguet 14,No Data,2,0,2,2,0,2,0,0,No militar,Ocean
1921-02-22,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1921-04-06,00:00:00,MILITARY - ROYAL AUSTRALIAN AIR FORCE,Avro 504,No Data,2,0,0,2,0,0,0,0,Militar,Australia
1921-04-21,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,Ocean
1921-04-29,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1921-05-17,00:00:00,US AERIAL MAIL SERVICE,"De Havilland DH-4De Havilland DH-4",No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1921-08-14,00:00:00,AEROPOSTALE,Breguet 14,No Data,2,-1,-1,2,-1,-1,0,0,No militar,France
1921-08-24,17:40:00,MILITARY - ROYAL AIRSHIP WORKS,Royal Airship Works ZR-2 (airship),R-38,49,0,49,43,0,43,1,6,Militar,Ocean
1921-09-06,00:00:00,FRANCO-ROUMAINE,Potez IX,160,5,4,1,5,4,1,0,0,No militar,France
1921-12-05,00:00:00,WEST AUSTRALIAN AIRWAYS,Bristol 28 Tourer,6116,2,0,2,2,0,2,0,0,No militar,Australia
1922-01-14,00:00:00,HANDLEY PAGE TRANSPORT,Handley Page O/10,HP-43,5,4,1,5,4,1,5,0,No militar,France
1922-02-21,00:00:00,MILITARY - U.S. ARMY AIR SERVICE,Dirigible Roma (airship),No Data,45,-1,-1,34,-1,-1,0,11,Militar,U.S.A.
1922-03-22,11:40:00,AERO LIMITED,Aeromarine Model 85 (flying boat),No Data,6,5,1,5,5,0,0,1,No militar,Ocean
1922-04-07,13:15:00,DAIMLER AIRWAYS / GRANDS EXPRESS AERIENS,de Havilland DH-18 / Farman F-60 Goliath,4,7,5,2,7,5,2,0,0,No militar,France
1922-04-08,00:00:00,NO DATA,No Data,No Data,17,0,17,17,0,17,0,0,No militar,China
1922-06-03,00:00:00,CIE DES MESSAGERIES AERIENNES,Bleriot Spad 27,555,3,2,1,3,2,1,0,0,No militar,Ocean
1922-07-04,00:00:00,NO DATA,LVG C VI,No Data,3,2,1,2,1,1,0,1,No militar,Germany
1922-07-16,16:45:00,COMPAGNIE FRANCO-ROUMAINE DE NAVIGAATION AERIENNE,Potez 29,25,5,4,1,5,4,1,0,0,No militar,France
1922-07-26,00:00:00,GRANDS EXPRESS AERIENS,Breguet 14,117,3,2,1,3,2,1,0,0,No militar,Spain
1922-09-07,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1922-10-02,00:00:00,DE HAVILLAND AIR SERVICE,de Havilland DH-9,14,4,3,1,4,3,1,0,0,No militar,Italy
1922-10-25,00:00:00,GRANDS EXPRESS AERIENS,Breguet 14,No Data,2,1,1,2,1,1,0,0,No militar,Morocco
1922-12-03,00:00:00,GRANDS EXPRESS AERIENS,Breguet 14,14,1,0,1,1,0,1,0,0,No militar,Morocco
1923-01-10,00:00:00,AMEE DE L'AIR,Lioré-et-Olivier H-13,4,4,2,2,3,1,2,0,1,No militar,France
1923-01-17,00:00:00,GRANDS EXPRESS AERIENS,Breguet 14,6083-130,1,0,1,1,0,1,0,0,No militar,Spain
1923-01-18,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1923-02-26,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1923-05-14,13:42:00,GRANDS EXPRESS AERIENS (AIR UNION),Farman F-60 Goliath,15,6,4,2,6,4,2,0,0,No militar,France
1923-08-27,17:30:00,AIR UNION,Farman F.60 Goliath,4,11,9,2,1,1,0,0,10,No militar,United Kingdom
1923-08-27,00:00:00,CAMPAGNIE FRANCE ROUMAINE,Blériot Spad 46,28,2,1,1,2,1,1,0,0,No militar,Romania
1923-09-07,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1923-09-14,18:00:00,DAIMLER AIRWAYS,de Havilland DH-34,29,5,3,2,5,3,2,0,0,No militar,Ocean
1923-11-18,00:00:00,CCCP,Junkers F-13,No Data,5,2,3,3,1,2,0,2,No militar,Russia
1923-12-06,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1923-12-23,02:30:00,MILITARY - FRENCH NAVY,Zeppelin Dixmunde (airship),No Data,52,-1,-1,52,-1,-1,0,0,Militar,Ocean
1923-12-24,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,Ocean
1924-03-07,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1924-04-24,00:00:00,KLM ROYAL DUTCH AIRLINES,Fokker F.III,1535,3,2,1,3,2,1,0,0,No militar,Ocean
1924-06-08,00:00:00,SCADTA,Junkers F-13,684,5,3,2,5,3,2,0,0,No militar,Colombia
1924-08-01,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,United States
1924-11-06,00:00:00,GRANDS EXPRESS AERIENS,Breguet 14,No Data,1,0,1,1,0,1,0,0,No militar,France
1924-12-21,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
1924-12-24,12:00:00,IMPERIAL AIRWAYS,de Havilland DH-34B,36,8,7,1,8,7,1,0,0,No militar,Ocean
1925-03-22,00:00:00,ZAKAVIA,Junkers F-13,590,5,3,2,5,3,2,0,0,No militar,U.S.A.
1925-04-25,00:00:00,GRANDS EXPRESS AERIENS,Breguet 14,202,3,1,2,3,1,2,0,0,No militar,Spain
1925-06-25,00:00:00,KLM ROYAL DUTCH AIRLINES,Fokker (KLM)  F.III,1502,4,3,1,4,3,1,0,0,No militar,France
1925-06-26,00:00:00,GRANDS EXPRESS AERIENS,Lioré-et-Olivier LeO H-13,No Data,2,0,2,2,0,2,0,0,No militar,Spain
1925-07-20,00:00:00,LIGNES AERIENNES LATECOERE,Breguet 14,209,1,0,1,1,0,1,0,0,No militar,Spain
